timestamp,id,value,dayofweek,hour,trend,seasonal,residual
2014-07-01 00:00:00,0,0.27665382554787354,2,-0.0,0.12990581494388345,0.016842195660106647,0.12990581494388345
2014-07-01 00:30:00,1,0.20733729622164962,2,-0.13052619222005157,0.12381353580464932,-0.04028977538764901,0.12381353580464932
2014-07-01 01:00:00,2,0.1584304921294997,2,-0.25881904510252074,0.12188324510991831,-0.08533599809033693,0.12188324510991831
2014-07-01 01:30:00,3,0.1187846008623109,2,-0.3826834323650898,0.12496824526728303,-0.13115188967225516,0.12496824526728303
2014-07-01 02:00:00,4,0.09745643799270352,2,-0.49999999999999994,0.1305168797728165,-0.16357732155292948,0.1305168797728165
2014-07-01 02:30:00,5,0.07329642574686838,2,-0.6087614290087207,0.1358704867317778,-0.19844454771668718,0.1358704867317778
2014-07-01 03:00:00,6,0.06043829884940174,2,-0.7071067811865476,0.14370949111053016,-0.22698068337165858,0.14370949111053016
2014-07-01 03:30:00,7,0.052657091103911015,2,-0.7933533402912352,0.1503170918446047,-0.2479770925852984,0.1503170918446047
2014-07-01 04:00:00,8,0.056662499681098044,2,-0.8660254037844386,0.15783156318821392,-0.2590006266953298,0.15783156318821392
2014-07-01 04:30:00,9,0.055055233818914716,2,-0.9238795325112867,0.17495424562039985,-0.294853257421885,0.17495424562039985
2014-07-01 05:00:00,10,0.06416307370462025,2,-0.9659258262890683,0.18559226042154375,-0.30702144713846724,0.18559226042154375
2014-07-01 05:30:00,11,0.11133505115187387,2,-0.9914448613738104,0.196699167275627,-0.28206328339938014,0.196699167275627
2014-07-01 06:00:00,12,0.16649233359695895,2,-1.0,0.20485032861124644,-0.24320832362553393,0.20485032861124644
2014-07-01 06:30:00,13,0.28162869607367913,2,-0.9914448613738104,0.21927356744985677,-0.1569184388260344,0.21927356744985677
2014-07-01 07:00:00,14,0.3535219532107049,2,-0.9659258262890683,0.22931637683363326,-0.10511080045656163,0.22931637683363326
2014-07-01 07:30:00,15,0.40475036354823074,2,-0.9238795325112868,0.22001627061047122,-0.035282177672711676,0.22001627061047122
2014-07-01 08:00:00,16,0.4571778452432584,2,-0.8660254037844387,0.23331310315602727,-0.009448361068796172,0.23331310315602727
2014-07-01 08:30:00,17,0.5190703370155879,2,-0.7933533402912352,0.24998089579000007,0.01910854543558774,0.24998089579000007
2014-07-01 09:00:00,18,0.49848202668571573,2,-0.7071067811865476,0.2408237894016448,0.01683444788242609,0.2408237894016448
2014-07-01 09:30:00,19,0.5129729316019083,2,-0.6087614290087209,0.24264574594740848,0.027681439707091294,0.24264574594740848
